time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2022-05-04 17:21:57,0,0,0,Available with any HD 360 subscription,Available with any HD 360 subscription,1854.010413659,0.328084,0,0,0,7,0,0,1854.010413659,0,0,0,0,0,0,126.2, -1.3, -1.6,0,0,364,364,364,1684,-100,-100,-100,100,130.7,0,100,4.3,4.303,4.304,4.299,0,0,0,78.71,1854.010413659,0,41,Motors_Started,
100,2022-05-04 17:21:57,0,0,0,,,1854.010413659,0.328084,0,0,0,7,0,0,1854.010413659,0,0,0,0,0,0,125.9, -1.3, -1.6,0,0,364,364,364,1684,-100,-100,-100,100,130.5,0,100,4.3,4.303,4.304,4.299,0,0,0,78.71,1854.010413659,0,41,Motors_Started,
200,2022-05-04 17:21:57,0,0,0,,,1854.010413659,0.328084,0,0,0,7,0,0,1854.010413659,0,0,0,0,0,0,126.4, -1.3, -1.6,0,0,364,364,364,1684,-100,-100,-100,100,130.7,0,100,4.3,4.303,4.304,4.299,0,0,0,78.71,1854.010413659,0,41,Motors_Started,
300,2022-05-04 17:21:57,0,0,0,,,1854.010413659,0.328084,0,0,0,7,0,17.09,1854.010413659,0,0,0,0,0,0,126, -1.3, -1.6,0,0,364,364,364,1684,-100,-100,-100,100,130.6,0,100,4.3,4.303,4.304,4.299,0,0,1.33,78.71,1854.010413659,0,41,Motors_Started,"Setting new Return-To-Home altitude to 30m (98 ft). Data Recorder File Index is 97. Setting new Maximum Flight Altitude to 30m (98 ft)"
400,2022-05-04 17:21:57,0,0,0,,,1854.010413659,0.328084,0,0,0,7,0,17.09,1854.010413659,0,0,0,0,0,0,126.3, -1.3, -1.6,0,0,364,364,364,1684,-100,-100,-100,100,130.6,0,100,4.3,4.303,4.304,4.299,0,0,1.33,78.71,1854.010413659,0,41,Motors_Started,
500,2022-05-04 17:21:57,0,0,0,,,1854.010413659,0.328084,0,0,0,7,0,17.09,1854.010413659,0,0,0,0,0,0,126.2, -1.3, -1.6,0,0,777,749,745,1412,-37,-42,-42,59,130.6,0,100,4.3,4.303,4.304,4.299,0,0,1.33,78.71,1854.010413659,0,41,Motors_Started,
600,2022-05-04 17:21:57,0,0,0,,,1854.010413659,0.328084,0,0,0,7,0,17.09,1854.010413659,0,0,0,0,0,0,126, -1.3, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,129.6,0,100,4.3,4.303,4.304,4.299,0,0,1.33,78.71,1854.010413659,0,41,Motors_Started,
700,2022-05-04 17:21:58,0,0,0,,,1854.010413659,0.328084,0,0,0,7,0,17.09,1854.010413659,0,0,0,0,0,0,126.3, -1.3, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,128.1,0,100,4.3,4.303,4.304,4.299,0,0,1.33,78.71,1854.010413659,0,41,Motors_Started,
800,2022-05-04 17:21:58,0,0,0,,,1854.010413659,0.328084,0,0,0,7,0,17.09,1854.010413659,0,0,0,0,0,0,126.1, -1.4, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,127.5,0,100,4.3,4.303,4.304,4.299,0,0,1.33,78.71,1854.010413659,0,41,Motors_Started,
900,2022-05-04 17:21:58,0,0,0,,,1854.010413659,0.328084,0,0,0,7,0,17.09,1854.010413659,0,0,0,0,0,0,126.2, -1.4, -1.5,0,0,1024,1024,1024,1024,0,0,0,0,127.2,0,100,4.3,4.303,4.304,4.299,0,0,1.33,78.71,1854.010413659,0,41,Motors_Started,
