,altitude_above_seaLevel(feet), compass_heading(degrees),latitude,longitude
1826,2150.926433659,357.9,40.2691314127224,-7.50205888279918
1827,2150.926433659,357.9,40.2691241262563,-7.50205856772416
1828,2151.254517659,357.9,40.2691167485972,-7.50205825013429
1829,2151.254517659,357.8,40.269109406269,-7.50205794763353
1830,2151.254517659,357.8,40.2691016282993,-7.50205762285837
1831,2151.254517659,357.8,40.2690940491823,-7.50205730095733
1832,2150.926433659,357.8,40.2690851962832,-7.50205695750041
1833,2151.254517659,357.8,40.2690776354047,-7.50205661655834
1834,2150.926433659,357.9,40.2690700770275,-7.50205626879025
1835,2150.926433659,357.8,40.2690628573667,-7.50205592784819
1836,2150.926433659,357.7,40.2690558506281,-7.50205553265717
1837,2150.926433659,357.5,40.2690486016813,-7.50205514824409
1838,2150.926433659,357.5,40.2690410792601,-7.50205470311531
1839,2150.926433659,357.4,40.2690337963375,-7.50205425978284
1840,2150.598349659,357.4,40.2690258930949,-7.50205378699068
1841,2150.270265659,357.3,40.2690180598885,-7.5020531927671
1842,2150.270265659,357.2,40.2690106462734,-7.50205278140918
1843,2150.270265659,357.0,40.2690038275485,-7.5020524437005
1844,2150.598349659,357.1,40.2689970932421,-7.50205218107811
1845,2150.598349659,357.4,40.2689911182856,-7.50205204671316
1846,2150.926433659,357.5,40.2689853363454,-7.50205186636235
1847,2150.926433659,357.4,40.268980349607,-7.50205180385032
1848,2150.926433659,357.2,40.2689757249302,-7.50205187821808
1849,2150.926433659,357.0,40.2689724075944,-7.50205194073012
1850,2151.254517659,356.8,40.2689684957853,-7.50205204240199
1851,2151.254517659,356.8,40.2689652420239,-7.50205212251798
1852,2151.582601659,356.8,40.2689623326068,-7.50205216778532
1853,2151.582601659,356.9,40.2689604968684,-7.50205142374842
1854,2151.582601659,357.0,40.268958345759,-7.50205140686298
1855,2151.582601659,357.1,40.2689566207027,-7.5020513863849
1856,2151.582601659,357.1,40.2689551255566,-7.50205133033963
1857,2151.254517659,357.2,40.2689539593302,-7.50205121250086
1858,2151.254517659,357.4,40.268952919002,-7.50205054462805
1859,2150.926433659,357.5,40.2689522200999,-7.5020503696662
1860,2151.254517659,357.7,40.2689517004569,-7.50205022128994
1861,2151.254517659,357.8,40.268951352986,-7.50205005782457
1862,2151.254517659,357.8,40.2689509665367,-7.50204957964344
1863,2151.582601659,357.8,40.2689507743543,-7.50204939821484
1864,2151.582601659,357.8,40.2689505711244,-7.50204921319359
1865,2151.254517659,357.8,40.2689504164613,-7.50204907092483
