,altitude_above_seaLevel(feet), compass_heading(degrees),latitude,longitude,altitude(feet), roll(degrees), pitch(degrees),height_above_takeoff(feet),gimbal_heading(degrees),gimbal_pitch(degrees)
3734,2019.2906984756,308.7,40.2732472373219,-7.499214414693,2019.2906984756,8.4,2.9,264.763788,308.2,-89.9
3735,2019.2906984756,308.7,40.2732472312771,-7.49921443732695,2019.2906984756,8.4,3.1,264.763788,308.2,-89.9
3736,2019.2906984756,308.7,40.2732472310687,-7.4992144646314,2019.2906984756,8.7,2.9,264.763788,308.2,-89.9
3737,2019.2906984756,308.7,40.2732472456596,-7.49921446238597,2019.2906984756,8.7,2.9,264.763788,308.2,-89.9
3738,2019.2906984756,308.7,40.2732473544657,-7.49921447334367,2019.2906984756,8.6,3.0,264.763788,308.2,-89.9
3739,2019.2906984756,308.8,40.2732473490462,-7.49921445017082,2019.2906984756,8.5,3.4,264.763788,308.2,-89.9
3740,2019.2906984756,308.7,40.2732473340385,-7.49921441810605,2019.2906984756,8.4,3.2,264.763788,308.2,-89.9
3741,2019.2906984756,308.8,40.2732472981866,-7.4992143897238,2019.2906984756,8.3,3.0,264.763788,308.2,-89.9
3742,2019.2906984756,308.8,40.2732471526949,-7.49921434131229,2019.2906984756,8.5,3.1,264.763788,308.2,-89.9
3743,2019.2906984756,308.8,40.2732471479008,-7.49921435253945,2019.2906984756,8.4,3.2,264.763788,308.2,-89.9
3744,2018.9626144756,308.8,40.2732471572806,-7.4992143705029,2018.9626144756,8.0,3.1,264.435704,308.2,-89.9
3745,2019.2906984756,308.7,40.2732471712462,-7.49921433143239,2019.2906984756,8.1,3.0,264.763788,308.2,-89.9
3746,2018.9626144756,308.6,40.2732472179369,-7.49921431409766,2018.9626144756,8.0,2.9,264.435704,308.2,-89.9
3747,2018.9626144756,308.6,40.2732472362797,-7.49921428059582,2018.9626144756,8.1,3.1,264.435704,308.2,-89.9
3748,2018.9626144756,308.6,40.2732472558732,-7.4992142586804,2018.9626144756,8.0,3.1,264.435704,308.2,-89.9
3749,2018.9626144756,308.6,40.2732472731738,-7.49921426649451,2018.9626144756,8.1,3.3,264.435704,308.2,-89.9
3750,2018.9626144756,308.5,40.2732472929756,-7.49921428364961,2018.9626144756,8.1,3.4,264.435704,308.2,-89.9
3751,2018.9626144756,308.5,40.273247309234,-7.49921436637131,2018.9626144756,8.0,3.5,264.435704,308.2,-89.9
3752,2018.9626144756,308.6,40.2732473211151,-7.49921440113059,2018.9626144756,8.1,3.7,264.435704,308.2,-89.9
3753,2018.9626144756,308.6,40.2732473615527,-7.49921443103974,2018.9626144756,8.0,3.9,264.435704,308.2,-89.9
3754,2019.2906984756,308.6,40.2732474059506,-7.49921445852383,2019.2906984756,8.2,3.6,264.763788,308.2,-89.9
3755,2019.2906984756,308.6,40.2732474222089,-7.49921454070663,2019.2906984756,8.3,3.6,264.763788,308.2,-89.9
3756,2018.9626144756,308.6,40.273247415122,-7.49921454034736,2018.9626144756,8.3,3.7,264.435704,308.2,-89.9
3757,2019.2906984756,308.6,40.2732473865656,-7.49921456073588,2019.2906984756,8.2,3.4,264.763788,308.2,-89.9
3758,2019.2906984756,308.6,40.2732473473787,-7.4992145837291,2019.2906984756,8.6,3.2,264.763788,308.2,-89.9
3759,2019.2906984756,308.6,40.2732472454511,-7.49921459423772,2019.2906984756,8.7,3.2,264.763788,308.2,-89.9
3760,2019.2906984756,308.6,40.2732472196045,-7.49921456837034,2019.2906984756,8.3,3.4,264.763788,308.2,-89.9
3761,2019.6187824756,308.6,40.2732472064727,-7.49921453531759,2019.6187824756,8.2,3.5,265.091872,308.2,-89.9
3762,2019.6187824756,308.6,40.273247189589,-7.49921449992959,2019.6187824756,8.4,3.3,265.091872,308.2,-89.9
3763,2019.2906984756,308.7,40.2732471039198,-7.49921456702309,2019.2906984756,8.6,3.3,264.763788,308.2,-89.9
3764,2019.2906984756,308.7,40.2732470478492,-7.49921459064503,2019.2906984756,8.6,3.3,264.763788,308.2,-89.9
3765,2019.2906984756,308.7,40.2732470230448,-7.49921455471812,2019.2906984756,8.6,3.0,264.763788,308.2,-89.9
3766,2019.2906984756,308.7,40.2732470074117,-7.4992145000194,2019.2906984756,8.6,3.0,264.763788,308.2,-89.9
3767,2019.2906984756,308.7,40.2732469678079,-7.49921446454158,2019.2906984756,8.7,3.2,264.763788,308.2,-89.9
3768,2018.9626144756,308.7,40.2732469154893,-7.49921439313685,2018.9626144756,8.7,3.1,264.435704,308.2,-89.9
3769,2019.2906984756,308.7,40.2732468979803,-7.49921436313789,2019.2906984756,8.7,2.9,264.763788,308.2,-89.9
3770,2019.2906984756,308.6,40.2732468894342,-7.49921433224075,2019.2906984756,8.8,2.8,264.763788,308.2,-89.9
3771,2018.9626144756,308.6,40.2732468573343,-7.49921431400784,2018.9626144756,8.6,2.8,264.435704,308.2,-89.9
3772,2018.9626144756,308.6,40.2732468319045,-7.49921437427523,2018.9626144756,8.5,2.8,264.435704,308.2,-89.9
3773,2018.9626144756,308.6,40.2732468162714,-7.49921433107312,2018.9626144756,8.8,2.7,264.435704,308.2,-89.9
3774,2018.9626144756,308.6,40.2732468098098,-7.49921427655404,2018.9626144756,8.9,2.8,264.435704,308.2,-89.9
3775,2019.2906984756,308.6,40.2732467820871,-7.49921425796187,2019.2906984756,8.8,2.6,264.763788,308.2,-89.9
3776,2019.2906984756,308.6,40.2732467606177,-7.4992142648778,2019.2906984756,8.8,2.7,264.763788,308.2,-89.9
3777,2019.2906984756,308.6,40.2732467629106,-7.49921427350025,2019.2906984756,9.0,2.8,264.763788,308.2,-89.9
3778,2019.2906984756,308.6,40.2732467785437,-7.49921427835039,2019.2906984756,8.5,2.7,264.763788,308.2,-89.9
